name,unique_entrances,total_entrances,visit_duration
/,35,36,40
/wissen/artikel/gpke-geschaeftsprozesse,11,11,28
/wissen/lokationsbuendel-im-deutschen-energiemarkt-struktur-funktion-und-anwendung,8,8,261
/wissen/gpke-geschaeftsprozesse-und-marktkommunikation-im-deutschen-strommarkt,7,7,243
/wissen/artikel/makomabishub,7,7,49
/app/login,7,8,30
/wissen/bilateraler-stammdatenabgleich-fehlerbehebung-und-harmonisierung-in-der-marktkommunikation,6,7,104
/wissen/fristen-im-prozess-der-ersatz-und-grundversorgung-gpke,6,6,43
/glossary/sekundaertechnik,6,6,0
/wissen/ersatz-und-grundversorgung-eog-im-strommarkt,5,5,597
/wissen/sperr-und-entsperrprozess-ablauf-aus-sicht-des-netzbetreibers-nb,5,5,324
/wissen/gpke-statusmeldungen-bedeutung-und-anwendung-im-lieferantenwechsel-und-bei-konfigurationsaenderungen,4,5,33
/wissen/malo-id-ermittlung-via-webapi-im-gpke-basierten-lieferantenwechsel,4,4,0
/wissen/artikel/utilmd-stammdaten,4,4,40
/whitepaper/mabis-hub,4,4,34
/wissen/utilmd-mscons-validierung-von-messwerten-im-deutschen-energiemarkt,4,4,505
/wissen/abrechnungsprozesse-im-deutschen-energiemarkt-edifact-basierter-datenaustausch,4,4,0
/data/codeliste-obis-kennzahlen-medien-2-5b-20240125,4,4,16
/wissen/utilmd-der-standard-fuer-stammdatenaustausch-im-deutschen-energiemarkt,4,4,70
/app,3,3,7
/wissen/lieferantenwechsel-im-strommarkt-rechtliche-grundlagen-und-gpke-prozesse-fuer-energiefachkraefte,3,3,110
/wissen/intelligente-messsysteme-imsys-in-der-marktkommunikation-prozesse-sicherheit-und-rollout,3,3,0
/wissen/mehr-mindermengenabrechnung-im-strommarkt-ausgleichsenergie-bilanzkreise-und-prozesse,3,3,0
/wissen/24h-lieferantenwechsel-ein-leitfaden-fuer-die-erfolgreiche-umsetzung,3,3,0
/wissen/faq-fehler-z17-zustaendigkeitsfehler-bei-markt-messlokationszuordnung-in-der-energiemarktkommunikation,3,3,0
/wissen,3,3,170
/wissen/14a-enwg-steuerung-von-verbrauchseinrichtungen-und-umsetzung-in-der-marktkommunikation,3,3,0
/wissen/artikel/remadv-zahlungsavis,3,3,0
/wissen/artikel/agnes-netzentgeltsystematik,3,3,0
/app/chat,2,3,420
/wissen/marktkommunikation-fuer-stromlieferanten-prozesse-standards-und-herausforderungen,2,2,20
/wissen/utilmd-und-mscons-detailliertes-zusammenspiel-in-der-marktkommunikation,2,2,0
/app/register,2,2,1166
/wissen/sperr-und-entsperrprozesse-aus-sicht-des-energielieferanten,2,2,0
/articles/gpke-geschaeftsprozesse,2,2,0
/wissen/gpke-fristen-im-lieferantenwechsel,2,2,0
/articles/lieferantenwechsel-prozess,2,2,1232
/wissen/zeitreihen-in-der-energiewirtschaft-definition-bedeutung-und-anwendungen,2,2,0
/wissen/remadv-im-energiemarkt-strukturierte-zahlungsavis-fuer-reibungslose-prozesse,2,2,0
/training/key_performance_indicators,2,2,0
/wissen/messwerte-im-energiemarkt-verantwortlichkeiten-prozesse-und-rechtliche-grundlagen,2,2,0
/wissen/abrechnung-von-messentgelten-zwischen-messstellenbetreiber-und-lieferant,2,2,250
/daten-atlas/datenelemente/imd-7081-produkt-leistung-code,1,1,0
/egefragt/rundsteuerempfaenger,1,1,0
/wissen/abrechnungsprozesse-im-deutschen-energiemarkt-zusammenspiel-von-nb-msb-und-lf,1,1,0
/app/admin,1,1,1
/app/message-analyzer,1,1,0
/daten-atlas/prozesse/netznutzungsabrechnung,1,1,0
/wissen/schnittstellen-der-marktkommunikation-zu-anderen-unternehmensbereichen-in-der-energiewirtschaft,1,1,0
/chat/0e98c0a6-ba1e-4cf2-bda0-e526a6a71d81,1,1,13
/wissen/netzregulierung-assetmanagement-kernaufgaben-rahmenbedingungen-und-optimierung,1,1,0
/daten-atlas/datenelemente/aperak-ebene-name,1,1,0
/mcp-service,1,1,0
/wissen/artikel/sperrprozess-strom-gas,1,1,0
/wissen/sperrauftrag-bei-lieferantenwechsel-gpke-behandlung-und-fristen,1,1,0
/wissen/artikel/4-phasen-workflow-klaerfallmanagement,1,1,0
/daten-atlas/datenelemente/ide-g-0086-codeliste-gas-nr-g-0086-codeliste-zur-prufung-auf-die-stornorechnung-rechnung-vom-msbn-an-den-msba,1,1,0
/wissen/netzanschluss-entsperrung-beim-lieferantenwechsel-prozesse-marktrollen-und-technische-details,1,1,0
/wissen/artikel,1,1,2
/wissen/rueckwirkende-vertragsaufloesung-in-der-grundversorgung-prozesse-fristen-und-ausnahmen,1,1,1352
/wissen/lfw24-der-24-stunden-lieferantenwechsel-im-energiemarkt-beschleunigung-und-automatisierung,1,1,0
/training/ebms_3.0,1,1,0
/tags/kommunikation,1,1,0
/daten-atlas/datenelemente/ide-1004-identifikator-des-edi-standards,1,1,0
/karriere,1,1,0
/community/public/bk6-24-210-webservice,1,1,0
/screenshot-analysis,1,1,24
/app/code-lookup,1,1,0
